glucose,glycogen,fatty_acid,triglycerides,glycerol,amino_acid,ammonia,urea,cholesterol,bile_acid,atp,adp,nad_plus,nadh,nadph,acetyl_coa,ketone_body,lactate,oxygen,albumin,clotting_factor,phaseI_intermediates,conjugates,ornithine,citrulline,argininosuccinate,arginine,ethanol,acetaldehyde,acetate,insulin,glucagon,epinephrine,cortisol,inflammation,oxygen_pressure,pH,temperature,is_postprandial,insulin_degrading_enzyme_activity,liver_function,xenobiotic_load,insulin_sensitivity,time,time_abs,scenario
107.827,380.799,47.81,80.0,9.4372,27.1072,0.865,10.0,19.9,5.1,80.9233,18.8,47.95,12.05,20.0,7.25,1.0,4.4796,99.65,41.26,10.54,0.0,0.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.802624679775096,0.6,0.09000000000000001,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.0,7.0,train_cases_24h
98.5329843531668,384.85578488744216,48.06390327440663,80.25065616994378,8.787790517500001,24.4653377175,0.9715208,10.0,19.799999999999997,5.199999999999999,79.87457448009388,17.89217848874422,48.3235,11.6765,19.785318703316364,6.886548553581528,1.0,3.8487206899999995,99.22825,42.3985024,11.027929599999998,0.0,0.0,1.0,0.36450000000000005,0.045,0.0,0.0,0.0,0.0,1.4723415095116614,0.12640919242354662,0.08000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.033333333333333,7.033333333333333,train_cases_24h
82.97407285703964,391.53466321032425,48.34707656041318,80.6687415473217,8.474321910503026,22.453983955001775,0.91002945245125,10.0,19.699999999999996,5.299999999999999,78.21383229098451,17.295406858813823,48.6935505377814,11.306449462218605,19.497402178230818,6.310715503410433,1.0,3.654414778446667,98.8195725,43.426046584135,11.468305678914998,0.0,0.0,1.0,0.54660624,0.14535000000000003,0.009,0.0,0.0,0.0,1.140386058310259,0.3171085484136722,0.07000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.066666666666666,7.066666666666666,train_cases_24h
70.60265303183732,396.7764997288169,48.53544875414557,81.00383806189927,8.076288898654093,20.582331732170143,0.7634007903984664,10.0018,19.599999999999994,5.399999999999999,76.96261075391948,16.59575387683744,49.05261682866635,10.947383171333648,19.285932301262473,5.887775749473746,1.0,3.339896681716597,98.42384676882236,44.369113910245076,11.87247739010503,0.0,0.0,1.0009,0.655633203735375,0.280261872,0.03627000000000001,0.0,0.0,0.0,0.5529262068965419,0.8389440933954412,0.06000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.1,7.1,train_cases_24h
92.80679303497617,373.62051050171783,45.61833552281315,81.00383806189927,7.462377232199423,18.681109540983535,0.5643706374856889,10.009053999999999,19.499999999999993,5.499999999999998,78.34744365618157,15.414543207923147,46.39740442602648,13.602595573973517,19.285932301262473,8.894411127186036,1.0,2.698954001110882,98.04068835782569,45.23357184299622,12.242959361284091,0.0,0.0,1.004527,0.6879634797343024,0.4208994587206125,0.08506837440000001,0.0,0.0,0.0,0.248717104490306,1.0933725828846923,0.05000000000000002,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.133333333333334,7.133333333333334,train_cases_24h
118.27616600693241,348.31236134623816,42.367435602890275,81.00383806189927,6.809903106624569,16.86892917859784,0.39505944623998224,10.026067674879998,19.39999999999999,5.599999999999998,80.2855361740819,14.076997937546922,43.55796395867635,16.442036041323647,19.285932301262473,12.300669704516235,1.0,1.9698840713076737,97.56459751273661,46.01817844371753,12.579219333021795,0.0,0.0,1.0130338374399999,0.6508856270597183,0.5431086108967808,0.1522345912641225,0.0,0.0,0.0,0.9124960903179511,0.49989998231623667,0.040000000000000015,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.166666666666667,7.166666666666667,train_cases_24h
107.2606002867133,352.7782286013755,42.873036241600516,81.28196208447876,6.439448572323975,15.486338893581374,0.2765416123679876,10.056514593132823,19.29999999999999,5.6999999999999975,79.49067541092201,13.186269858993697,44.191428865865966,15.808571134134034,18.93578857400453,11.764281597433955,1.0,1.6519071664595524,97.07190258492247,46.72667346921864,12.882860058236556,0.0,0.0,1.028257296566412,0.5741377728137975,0.62975257683534,0.23040939519065418,0.0,0.0,0.0,1.7310815008364888,0.03901265802127947,0.030000000000000013,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.2,7.2,train_cases_24h
89.23056525235762,360.45337724012694,43.5582085025935,81.76473245968789,6.27331652475535,14.391026512397866,0.1935791286575913,10.102596472170953,19.19999999999999,5.799999999999997,77.75463713228757,12.701089086264442,44.78481100952068,15.215188990479318,18.424232812184847,10.850117821958678,1.0,1.5952261429388062,96.61038313985769,47.37709970274906,13.16161415832102,0.0,0.0,1.0512982360854775,0.48485892468005454,0.6760433933124113,0.3102780315195913,0.0,0.0,0.0,1.4545529004344862,0.13430465173859293,0.02000000000000001,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.233333333333333,7.233333333333333,train_cases_24h
73.90687205261857,366.8858352595998,44.03075844095948,82.17837068479652,6.082427593449496,13.33667599034814,0.13550539006031392,10.164652078474871,19.099999999999987,5.899999999999997,76.4089771277156,12.137731425016607,45.35636001840258,14.643639981597417,18.043184464213837,10.088021126016661,1.0,1.4994711814426398,96.16584502183844,47.98152281626977,13.420652635544181,0.0,0.0,1.0823260392374365,0.39747498587331553,0.6862923920539453,0.3834311038781553,0.0,0.0,0.0,0.7732341034895767,0.6276799888537382,0.01000000000000001,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.266666666666667,7.266666666666667,train_cases_24h
64.79659179579552,370.48226967779226,44.29944853425196,82.42167921066891,5.737391102510165,12.191438939987922,0.09485377304221976,10.241338299250502,18.999999999999986,5.9999999999999964,75.84545854940262,11.344290381459276,45.90255793252833,14.09744206747167,17.82368143351226,9.649015064613506,1.0,1.1911441696695735,95.74102442196285,48.54166320786439,13.660712803370448,0.0,0.0,1.120669149625252,0.31888410712941506,0.6682764094051509,0.4440033615133133,0.0,0.0,0.0,0.3122229066068724,1.0480553480235641,1.0408340855860843e-17,0.1,0.0,100.0,7.4,37.0,0.0,1.0,1.0,0.0,1.0,7.3,7.3,train_cases_24h
